21.141000.6, 9.412000.6, -6.720000.6, 0.449000.6, 0.200000.6, 0.871000.6
15.481000.6, 17.198000.6, -6.720000.6, 0.329000.6, 0.365000.6, 0.871000.6
7.152000.6, 22.013000.6, -6.723000.6, 0.152000.6, 0.468000.6, 0.871000.6
-2.423000.6, 23.010000.6, -6.717000.6, -0.051000.6, 0.489000.6, 0.871000.6
-11.571000.6, 20.045000.6, -6.722000.6, -0.246000.6, 0.426000.6, 0.871000.6
-18.726000.6, 13.602000.6, -6.721000.6, -0.398000.6, 0.289000.6, 0.871000.6
-22.636000.6, 4.810000.6, -6.721000.6, -0.481000.6, 0.102000.6, 0.871000.6
-22.632000.6, -4.812000.6, -6.719000.6, -0.481000.6, -0.102000.6, 0.871000.6
-18.719000.6, -13.600000.6, -6.719000.6, -0.398000.6, -0.289000.6, 0.871000.6
-11.570000.6, -20.043000.6, -6.722000.6, -0.246000.6, -0.426000.6, 0.871000.6
-2.421000.6, -23.003000.6, -6.716000.6, -0.051000.6, -0.489000.6, 0.871000.6
7.150000.6, -22.001000.6, -6.717000.6, 0.152000.6, -0.468000.6, 0.871000.6
15.481000.6, -17.202000.6, -6.722000.6, 0.329000.6, -0.365000.6, 0.871000.6
21.136000.6, -9.417000.6, -6.720000.6, 0.449000.6, -0.200000.6, 0.871000.6
23.137000.6, 0.003000.6, -6.719000.6, 0.492000.6, 0.000000.6, 0.871000.6
24.047000.6, -0.010000.6, -7.241000.6, 0.504000.6, 0.000000.6, 0.863000.6
21.971000.6, 9.781000.6, -7.243000.6, 0.461000.6, 0.205000.6, 0.863000.6
16.090000.6, 17.875000.6, -7.243000.6, 0.337000.6, 0.375000.6, 0.863000.6
7.431000.6, 22.874000.6, -7.242000.6, 0.156000.6, 0.480000.6, 0.863000.6
-2.518000.6, 23.923000.6, -7.245000.6, -0.053000.6, 0.502000.6, 0.863000.6
-12.026000.6, 20.831000.6, -7.244000.6, -0.252000.6, 0.437000.6, 0.863000.6
-19.459000.6, 14.136000.6, -7.243000.6, -0.408000.6, 0.296000.6, 0.863000.6
-23.529000.6, 5.003000.6, -7.245000.6, -0.493000.6, 0.105000.6, 0.863000.6
-23.524000.6, -5.008000.6, -7.244000.6, -0.493000.6, -0.105000.6, 0.863000.6
-19.456000.6, -14.138000.6, -7.244000.6, -0.408000.6, -0.296000.6, 0.863000.6
-12.026000.6, -20.841000.6, -7.250000.6, -0.252000.6, -0.437000.6, 0.863000.6
-2.517000.6, -23.913000.6, -7.241000.6, -0.053000.6, -0.502000.6, 0.863000.6
7.429000.6, -22.883000.6, -7.250000.6, 0.156000.6, -0.480000.6, 0.863000.6
16.093000.6, -17.873000.6, -7.244000.6, 0.337000.6, -0.375000.6, 0.863000.6
21.973000.6, -9.773000.6, -7.242000.6, 0.461000.6, -0.205000.6, 0.863000.6
24.047000.6, -0.001000.6, -7.241000.6, 0.504000.6, 0.000000.6, 0.863000.6
24.962000.6, -0.005000.6, -7.785000.6, 0.517000.6, 0.000000.6, 0.856000.6
22.803000.6, 10.155000.6, -7.784000.6, 0.472000.6, 0.210000.6, 0.856000.6
16.700000.6, 18.557000.6, -7.786000.6, 0.346000.6, 0.384000.6, 0.856000.6
7.716000.6, 23.753000.6, -7.792000.6, 0.160000.6, 0.491000.6, 0.856000.6
-2.614000.6, 24.822000.6, -7.780000.6, -0.054000.6, 0.514000.6, 0.856000.6
-12.488000.6, 21.613000.6, -7.783000.6, -0.258000.6, 0.447000.6, 0.856000.6
-20.196000.6, 14.677000.6, -7.787000.6, -0.418000.6, 0.304000.6, 0.856000.6
-24.421000.6, 5.187000.6, -7.787000.6, -0.505000.6, 0.107000.6, 0.856000.6
-24.422000.6, -5.198000.6, -7.789000.6, -0.505000.6, -0.107000.6, 0.856000.6
-20.196000.6, -14.675000.6, -7.786000.6, -0.418000.6, -0.304000.6, 0.856000.6
-12.480000.6, -21.629000.6, -7.791000.6, -0.258000.6, -0.447000.6, 0.856000.6
-2.610000.6, -24.834000.6, -7.791000.6, -0.054000.6, -0.514000.6, 0.856000.6
7.715000.6, -23.725000.6, -7.777000.6, 0.160000.6, -0.491000.6, 0.856000.6
16.708000.6, -18.546000.6, -7.786000.6, 0.346000.6, -0.384000.6, 0.856000.6
22.801000.6, -10.158000.6, -7.785000.6, 0.472000.6, -0.210000.6, 0.856000.6
24.963000.6, -0.002000.6, -7.785000.6, 0.517000.6, 0.000000.6, 0.856000.6
25.883000.6, -0.006000.6, -8.349000.6, 0.528000.6, 0.000000.6, 0.849000.6
23.643000.6, 10.530000.6, -8.348000.6, 0.483000.6, 0.215000.6, 0.849000.6
17.318000.6, 19.237000.6, -8.350000.6, 0.354000.6, 0.393000.6, 0.849000.6
7.998000.6, 24.604000.6, -8.340000.6, 0.163000.6, 0.502000.6, 0.849000.6
-2.709000.6, 25.745000.6, -8.351000.6, -0.055000.6, 0.525000.6, 0.849000.6
-12.948000.6, 22.407000.6, -8.345000.6, -0.264000.6, 0.458000.6, 0.849000.6
-20.935000.6, 15.217000.6, -8.347000.6, -0.427000.6, 0.311000.6, 0.849000.6
-25.312000.6, 5.381000.6, -8.346000.6, -0.517000.6, 0.110000.6, 0.849000.6
-25.315000.6, -5.381000.6, -8.347000.6, -0.517000.6, -0.110000.6, 0.849000.6
-20.935000.6, -15.211000.6, -8.346000.6, -0.427000.6, -0.311000.6, 0.849000.6
-12.938000.6, -22.430000.6, -8.357000.6, -0.264000.6, -0.458000.6, 0.849000.6
-2.709000.6, -25.737000.6, -8.347000.6, -0.055000.6, -0.525000.6, 0.849000.6
7.994000.6, -24.622000.6, -8.354000.6, 0.163000.6, -0.502000.6, 0.849000.6
17.321000.6, -19.232000.6, -8.350000.6, 0.354000.6, -0.393000.6, 0.849000.6
23.644000.6, -10.528000.6, -8.349000.6, 0.483000.6, -0.215000.6, 0.849000.6
25.884000.6, -0.002000.6, -8.349000.6, 0.528000.6, 0.000000.6, 0.849000.6
26.791000.6, -0.004000.6, -8.923000.6, 0.540000.6, 0.000000.6, 0.842000.6
24.477000.6, 10.892000.6, -8.922000.6, 0.493000.6, 0.219000.6, 0.842000.6
17.928000.6, 19.910000.6, -8.923000.6, 0.361000.6, 0.401000.6, 0.842000.6
8.277000.6, 25.490000.6, -8.928000.6, 0.167000.6, 0.513000.6, 0.842000.6
-2.805000.6, 26.647000.6, -8.923000.6, -0.056000.6, 0.537000.6, 0.842000.6
-13.401000.6, 23.208000.6, -8.926000.6, -0.270000.6, 0.467000.6, 0.842000.6
-21.676000.6, 15.755000.6, -8.925000.6, -0.437000.6, 0.317000.6, 0.842000.6
-26.208000.6, 5.574000.6, -8.925000.6, -0.528000.6, 0.112000.6, 0.842000.6
